step 17000, idx 43872, training accuracy 0.5, cross entropy is 1.40357(0.016 sec/batch=32 images) 
step 17100, idx 47072, training accuracy 0.625, cross entropy is 1.04784(0.016 sec/batch=32 images) 
step 17200, idx 256, training accuracy 0.5625, cross entropy is 1.13048(0.016 sec/batch=32 images) 
step 17300, idx 3456, training accuracy 0.5625, cross entropy is 1.08278(0.016 sec/batch=32 images) 
step 17400, idx 6656, training accuracy 0.75, cross entropy is 0.607123(0.016 sec/batch=32 images) 
step 17500, idx 9856, training accuracy 0.5, cross entropy is 1.24413(0.016 sec/batch=32 images) 
step 17600, idx 13056, training accuracy 0.59375, cross entropy is 0.93605(0.016 sec/batch=32 images) 
step 17700, idx 16256, training accuracy 0.78125, cross entropy is 0.749645(0.016 sec/batch=32 images) 
step 17800, idx 19456, training accuracy 0.71875, cross entropy is 0.762668(0.016 sec/batch=32 images) 
step 17900, idx 22656, training accuracy 0.71875, cross entropy is 0.806643(0.016 sec/batch=32 images) 
step 18000, idx 25856, training accuracy 0.5, cross entropy is 1.28287(0.016 sec/batch=32 images) 
step 18100, idx 29056, training accuracy 0.71875, cross entropy is 0.795653(0.016 sec/batch=32 images) 
step 18200, idx 32256, training accuracy 0.59375, cross entropy is 1.16123(0.016 sec/batch=32 images) 
step 18300, idx 35456, training accuracy 0.5, cross entropy is 1.25996(0.017 sec/batch=32 images) 
step 18400, idx 38656, training accuracy 0.78125, cross entropy is 0.799405(0.016 sec/batch=32 images) 
step 18500, idx 41856, training accuracy 0.625, cross entropy is 0.950674(0.016 sec/batch=32 images) 
step 18600, idx 45056, training accuracy 0.8125, cross entropy is 0.645418(0.016 sec/batch=32 images) 
step 18700, idx 48256, training accuracy 0.65625, cross entropy is 0.871528(0.016 sec/batch=32 images) 
step 18800, idx 1440, training accuracy 0.6875, cross entropy is 0.817335(0.016 sec/batch=32 images) 
step 18900, idx 4640, training accuracy 0.65625, cross entropy is 0.809799(0.016 sec/batch=32 images) 
step 19000, idx 7840, training accuracy 0.65625, cross entropy is 0.931051(0.016 sec/batch=32 images) 
step 19100, idx 11040, training accuracy 0.625, cross entropy is 1.05171(0.016 sec/batch=32 images) 
step 19200, idx 14240, training accuracy 0.71875, cross entropy is 0.80183(0.016 sec/batch=32 images) 
step 19300, idx 17440, training accuracy 0.6875, cross entropy is 0.892315(0.016 sec/batch=32 images) 
step 19400, idx 20640, training accuracy 0.75, cross entropy is 0.673247(0.016 sec/batch=32 images) 
step 19500, idx 23840, training accuracy 0.75, cross entropy is 0.787919(0.016 sec/batch=32 images) 
step 19600, idx 27040, training accuracy 0.59375, cross entropy is 1.09468(0.016 sec/batch=32 images) 
step 19700, idx 30240, training accuracy 0.71875, cross entropy is 0.773953(0.016 sec/batch=32 images) 
step 19800, idx 33440, training accuracy 0.59375, cross entropy is 1.08736(0.016 sec/batch=32 images) 
step 19900, idx 36640, training accuracy 0.71875, cross entropy is 0.772798(0.016 sec/batch=32 images) 
step 20000, idx 39840, training accuracy 0.71875, cross entropy is 0.725466(0.016 sec/batch=32 images) 
step 20100, idx 43040, training accuracy 0.4375, cross entropy is 1.40144(0.016 sec/batch=32 images) 
step 20200, idx 46240, training accuracy 0.71875, cross entropy is 0.78413(0.017 sec/batch=32 images) 
step 20300, idx 49440, training accuracy 0.71875, cross entropy is 0.78387(0.017 sec/batch=32 images) 
step 20400, idx 2624, training accuracy 0.75, cross entropy is 0.665671(0.017 sec/batch=32 images) 
step 20500, idx 5824, training accuracy 0.84375, cross entropy is 0.436297(0.016 sec/batch=32 images) 
step 20600, idx 9024, training accuracy 0.65625, cross entropy is 0.914021(0.017 sec/batch=32 images) 
step 20700, idx 12224, training accuracy 0.46875, cross entropy is 1.28908(0.016 sec/batch=32 images) 
step 20800, idx 15424, training accuracy 0.625, cross entropy is 0.892092(0.016 sec/batch=32 images) 
step 20900, idx 18624, training accuracy 0.4375, cross entropy is 1.37328(0.016 sec/batch=32 images) 
step 21000, idx 21824, training accuracy 0.625, cross entropy is 0.977557(0.016 sec/batch=32 images) 
step 21100, idx 25024, training accuracy 0.59375, cross entropy is 1.0525(0.016 sec/batch=32 images) 
step 21200, idx 28224, training accuracy 0.71875, cross entropy is 0.69783(0.016 sec/batch=32 images) 
step 21300, idx 31424, training accuracy 0.65625, cross entropy is 0.975024(0.016 sec/batch=32 images) 
step 21400, idx 34624, training accuracy 0.75, cross entropy is 0.727222(0.016 sec/batch=32 images) 
step 21500, idx 37824, training accuracy 0.75, cross entropy is 0.753255(0.016 sec/batch=32 images) 
step 21600, idx 41024, training accuracy 0.65625, cross entropy is 0.890455(0.016 sec/batch=32 images) 
step 21700, idx 44224, training accuracy 0.65625, cross entropy is 0.871673(0.017 sec/batch=32 images) 
step 21800, idx 47424, training accuracy 0.6875, cross entropy is 0.813601(0.016 sec/batch=32 images) 
step 21900, idx 608, training accuracy 0.8125, cross entropy is 0.508527(0.016 sec/batch=32 images) 
step 22000, idx 3808, training accuracy 0.53125, cross entropy is 1.27203(0.016 sec/batch=32 images) 
step 22100, idx 7008, training accuracy 0.65625, cross entropy is 0.856679(0.016 sec/batch=32 images) 
step 22200, idx 10208, training accuracy 0.53125, cross entropy is 1.17913(0.016 sec/batch=32 images) 
step 22300, idx 13408, training accuracy 0.625, cross entropy is 1.04508(0.016 sec/batch=32 images) 
step 22400, idx 16608, training accuracy 0.625, cross entropy is 1.24702(0.016 sec/batch=32 images) 
step 22500, idx 19808, training accuracy 0.75, cross entropy is 0.666416(0.016 sec/batch=32 images) 
step 22600, idx 23008, training accuracy 0.625, cross entropy is 0.99966(0.016 sec/batch=32 images) 
step 22700, idx 26208, training accuracy 0.65625, cross entropy is 0.833052(0.016 sec/batch=32 images) 
step 22800, idx 29408, training accuracy 0.46875, cross entropy is 1.28591(0.017 sec/batch=32 images) 
step 22900, idx 32608, training accuracy 0.71875, cross entropy is 0.692332(0.016 sec/batch=32 images) 
step 23000, idx 35808, training accuracy 0.65625, cross entropy is 0.827434(0.016 sec/batch=32 images) 
step 23100, idx 39008, training accuracy 0.53125, cross entropy is 1.23015(0.016 sec/batch=32 images) 
step 23200, idx 42208, training accuracy 0.84375, cross entropy is 0.449862(0.016 sec/batch=32 images) 
step 23300, idx 45408, training accuracy 0.78125, cross entropy is 0.584628(0.016 sec/batch=32 images) 
step 23400, idx 48608, training accuracy 0.6875, cross entropy is 0.721597(0.017 sec/batch=32 images) 
step 23500, idx 1792, training accuracy 0.71875, cross entropy is 0.791983(0.016 sec/batch=32 images) 
step 23600, idx 4992, training accuracy 0.5625, cross entropy is 1.11679(0.017 sec/batch=32 images) 
step 23700, idx 8192, training accuracy 0.8125, cross entropy is 0.580493(0.016 sec/batch=32 images) 
step 23800, idx 11392, training accuracy 0.625, cross entropy is 0.915164(0.016 sec/batch=32 images) 
step 23900, idx 14592, training accuracy 0.75, cross entropy is 0.726276(0.017 sec/batch=32 images) 
step 24000, idx 17792, training accuracy 0.59375, cross entropy is 1.01206(0.016 sec/batch=32 images) 
step 24100, idx 20992, training accuracy 0.5625, cross entropy is 1.1432(0.016 sec/batch=32 images) 
step 24200, idx 24192, training accuracy 0.625, cross entropy is 0.958799(0.016 sec/batch=32 images) 
step 24300, idx 27392, training accuracy 0.53125, cross entropy is 1.13094(0.017 sec/batch=32 images) 
step 24400, idx 30592, training accuracy 0.65625, cross entropy is 0.875313(0.016 sec/batch=32 images) 
step 24500, idx 33792, training accuracy 0.75, cross entropy is 0.566909(0.017 sec/batch=32 images) 
step 24600, idx 36992, training accuracy 0.65625, cross entropy is 0.973625(0.016 sec/batch=32 images) 
step 24700, idx 40192, training accuracy 0.65625, cross entropy is 0.857812(0.016 sec/batch=32 images) 
step 24800, idx 43392, training accuracy 0.625, cross entropy is 0.928891(0.016 sec/batch=32 images) 
step 24900, idx 46592, training accuracy 0.625, cross entropy is 0.92771(0.017 sec/batch=32 images) 
step 25000, idx 49792, training accuracy 0.9375, cross entropy is 0.203888(0.016 sec/batch=32 images) 
step 25100, idx 2976, training accuracy 0.65625, cross entropy is 0.854568(0.016 sec/batch=32 images) 
step 25200, idx 6176, training accuracy 0.71875, cross entropy is 0.751782(0.016 sec/batch=32 images) 
step 25300, idx 9376, training accuracy 0.625, cross entropy is 0.951113(0.016 sec/batch=32 images) 
step 25400, idx 12576, training accuracy 0.65625, cross entropy is 0.960266(0.016 sec/batch=32 images) 
step 25500, idx 15776, training accuracy 0.625, cross entropy is 1.03014(0.016 sec/batch=32 images) 
step 25600, idx 18976, training accuracy 0.625, cross entropy is 0.97203(0.016 sec/batch=32 images) 
step 25700, idx 22176, training accuracy 0.6875, cross entropy is 0.740244(0.016 sec/batch=32 images) 
step 25800, idx 25376, training accuracy 0.59375, cross entropy is 1.02893(0.016 sec/batch=32 images) 
step 25900, idx 28576, training accuracy 0.75, cross entropy is 0.668789(0.016 sec/batch=32 images) 
step 26000, idx 31776, training accuracy 0.6875, cross entropy is 0.75379(0.016 sec/batch=32 images) 
step 26100, idx 34976, training accuracy 0.625, cross entropy is 1.10869(0.016 sec/batch=32 images) 
step 26200, idx 38176, training accuracy 0.5625, cross entropy is 1.12774(0.016 sec/batch=32 images) 
step 26300, idx 41376, training accuracy 0.78125, cross entropy is 0.580403(0.016 sec/batch=32 images) 
step 26400, idx 44576, training accuracy 0.625, cross entropy is 0.935312(0.016 sec/batch=32 images) 
step 26500, idx 47776, training accuracy 0.71875, cross entropy is 0.687838(0.016 sec/batch=32 images) 
step 26600, idx 960, training accuracy 0.53125, cross entropy is 1.13373(0.016 sec/batch=32 images) 
step 26700, idx 4160, training accuracy 0.53125, cross entropy is 1.23314(0.016 sec/batch=32 images) 
step 26800, idx 7360, training accuracy 0.6875, cross entropy is 0.751327(0.016 sec/batch=32 images) 
step 26900, idx 10560, training accuracy 0.65625, cross entropy is 0.850275(0.017 sec/batch=32 images) 
step 27000, idx 13760, training accuracy 0.71875, cross entropy is 0.7277(0.016 sec/batch=32 images) 
step 27100, idx 16960, training accuracy 0.59375, cross entropy is 1.01265(0.017 sec/batch=32 images) 
step 27200, idx 20160, training accuracy 0.5625, cross entropy is 1.06489(0.016 sec/batch=32 images) 
step 27300, idx 23360, training accuracy 0.71875, cross entropy is 0.685764(0.016 sec/batch=32 images) 
step 27400, idx 26560, training accuracy 0.75, cross entropy is 0.628311(0.017 sec/batch=32 images) 
step 27500, idx 29760, training accuracy 0.625, cross entropy is 1.00999(0.016 sec/batch=32 images) 
step 27600, idx 32960, training accuracy 0.59375, cross entropy is 1.02911(0.016 sec/batch=32 images) 
step 27700, idx 36160, training accuracy 0.78125, cross entropy is 0.582046(0.016 sec/batch=32 images) 
step 27800, idx 39360, training accuracy 0.6875, cross entropy is 0.83384(0.016 sec/batch=32 images) 
step 27900, idx 42560, training accuracy 0.59375, cross entropy is 1.05693(0.016 sec/batch=32 images) 
step 28000, idx 45760, training accuracy 0.53125, cross entropy is 1.16074(0.016 sec/batch=32 images) 
